min,mean,max
108,133.1,183
108,133.1,183
108,132.9,181
108,132.9,181
108,132.7,179
108,132.7,179
108,132.7,179
108,132.7,179
108,132.5,177
108,132.5,177
108,132.2,174
108,132.2,174
108,132.2,174
108,132.1,174
108,132.0,174
108,132.0,174
108,131.7,171
108,131.7,171
108,131.5,170
108,131.5,170
108,131.2,167
108,131.2,167
108,131.0,165
108,130.9,164
108,130.7,162
108,130.5,160
108,130.4,159
108,130.4,159
108,130.2,157
108,130.2,157
108,130.2,157
108,130.2,157
108,130.2,157
108,129.9,154
108,129.8,153
108,129.8,153
108,129.6,151
108,129.3,149
108,129.3,148
108,129.2,148
108,129.2,148
108,129.2,148
108,129.0,147
108,128.8,147
108,128.8,147
108,128.9,147
108,128.8,146
108,128.8,146
108,128.8,146
108,128.7,146
108,128.7,146
108,128.6,145
108,128.6,145
108,128.3,142
108,128.3,142
108,128.2,142
108,128.1,142
108,128.1,142
108,128.1,142
108,127.8,139
108,127.8,139
108,127.8,139
108,127.9,139
108,127.9,139
108,127.9,139
108,128.1,139
108,128.1,139
108,128.1,139
108,128.1,139
108,128.1,139
108,128.1,139
108,128.3,139
108,128.3,139
108,128.3,139
108,128.4,140
108,128.6,141
108,128.6,142
108,128.8,144
108,128.8,144
108,128.9,145
108,128.9,145
108,129.0,146
108,129.1,147
108,129.0,147
108,129.0,147
108,129.2,149
108,129.2,149
108,129.3,150
108,129.2,150
108,129.2,150
108,129.2,150
108,129.2,150
108,129.2,150
108,129.2,150
108,129.2,150
108,129.2,150
108,129.7,150
108,130.1,150
108,130.2,150
108,130.2,150
108,130.2,150
108,130.2,150
108,130.2,150
108,130.3,150
108,130.3,150
108,130.4,150
108,130.5,150
110,135.4,156
110,142.6,220
110,150.8,279
110,160.0,336
110,169.4,372
110,179.2,374
110,195.4,436
110,206.3,515
110,212.2,503
110,231.1,504
116,255.4,571
127,293.6,682
128,296.7,572
128,312.2,522
128,322.0,517
128,334.7,536
128,346.1,566
128,368.6,672
130,374.3,688
162,389.7,694
179,418.1,695
200,453.1,690
257,467.2,698
301,491.3,697
309,512.8,707
294,511.7,742
265,508.5,728
308,518.1,705
302,520.6,679
325,518.8,661
377,518.3,652
394,512.1,652
383,503.7,657
368,491.9,662
363,486.1,697
355,480.2,734
340,472.9,741
329,470.3,732
322,461.2,717
308,450.6,692
293,444.0,647
276,425.9,606
256,406.0,575
239,391.7,553
229,382.8,539
216,373.3,537
201,359.5,530
184,345.4,523
169,331.2,504
161,316.8,483
153,304.2,456
147,290.2,429
141,277.2,402
136,265.7,378
131,252.3,359
126,239.7,341
125,228.9,323
126,221.4,306
125,215.0,289
122,207.6,272
122,198.0,259
127,190.8,247
137,182.9,238
136,176.3,232
130,169.8,217
126,166.7,224
124,164.3,232
122,161.1,224
119,158.2,216
117,157.5,214
114,157.7,218
112,159.9,217
112,159.5,230
112,156.3,230
112,152.4,215
112,150.6,210
112,150.0,210
113,149.2,209
115,147.6,208
118,146.4,208
118,144.9,207
117,143.3,206
117,141.5,202
116,140.5,205
116,139.1,207
116,137.6,207
115,135.8,208
115,135.0,210
113,134.3,211
112,134.2,216
112,135.1,228
113,138.7,230
112,141.5,231
111,142.3,231
110,141.1,223
109,138.1,202
108,136.6,195
107,135.5,185
106,134.8,182
105,134.2,186
104,133.9,186
103,133.3,184
103,132.2,180
103,131.7,175
103,130.1,175
103,128.5,171
103,127.1,167
103,125.4,161
103,124.3,158
103,123.5,155
103,122.5,155
103,122.1,155
103,121.2,150
103,121.1,148
103,120.7,146
103,120.5,145
103,120.5,145
103,119.4,146
102,118.6,146
101,118.4,146
102,118.1,147
101,117.4,148
100,118.9,165
100,119.1,170
99,118.7,171
100,119.6,174
100,120.4,174
99,120.6,174
