uid,date,temperature,pressure,cloud,weather,wind_dir,wind_spd
09386,2008-01-01,-17,735,dull,snow,ЮЗ,2
09386,2008-01-02,-31,747,sun,,СЗ,2
09386,2008-01-03,-43,753,sun,,З,2
09386,2008-01-04,-34,733,dull,snow,Ш,0
09386,2008-01-05,-28,728,suncl,,З,1
09386,2008-01-06,-38,741,sunc,,З,2
09386,2008-01-07,-45,749,sun,,З,1
09386,2008-01-08,-34,741,sunc,,С,2
09386,2008-01-09,-46,757,sun,,Ш,0
09386,2008-01-10,-38,763,sunc,,СЗ,2
09386,2008-01-11,-38,770,suncl,,Ш,0
09386,2008-01-12,-37,769,suncl,,З,1
09386,2008-01-13,-38,767,sun,,З,1
09386,2008-01-14,-41,767,sun,,З,1
09386,2008-01-15,-44,766,sunc,,Ш,0
09386,2008-01-16,-43,763,sun,,Ш,0
09386,2008-01-17,-40,761,suncl,,З,1
09386,2008-01-18,-40,765,sun,,Ш,0
09386,2008-01-19,-41,765,suncl,,Ш,0
09386,2008-01-20,-32,757,dull,snow,Ш,0
09386,2008-01-21,-24,750,dull,,ЮВ,2
09386,2008-01-22,-23,749,dull,,Ш,0
09386,2008-01-23,-15,748,suncl,,Ш,0
09386,2008-01-24,-19,755,suncl,,СЗ,1
09386,2008-01-25,-13,748,dull,snow,СВ,1
09386,2008-01-26,-18,752,suncl,,ЮЗ,2
09386,2008-01-27,-27,756,suncl,,Ш,0
09386,2008-01-28,-28,755,suncl,,СЗ,2
09386,2008-01-29,-28,751,dull,,З,2
09386,2008-01-30,-22,747,suncl,,СЗ,2
09386,2008-01-31,-30,751,sunc,,Ш,0
09386,2008-02-01,-28,748,suncl,,Ш,0
09386,2008-02-02,-27,748,dull,,Ш,0
09386,2008-02-03,-19,747,sunc,,Ш,0
09386,2008-02-04,-23,748,dull,snow,В,2
09386,2008-02-05,-9,746,suncl,,ЮЗ,2
09386,2008-02-06,-14,744,suncl,,Ш,0
09386,2008-02-07,-18,745,suncl,,З,2
09386,2008-02-08,-27,752,suncl,,С,3
09386,2008-02-09,-36,755,sun,,Ш,0
09386,2008-02-10,-23,746,dull,snow,ЮЗ,2
09386,2008-02-11,-26,743,dull,snow,С,4
09386,2008-02-12,-37,749,dull,,Ш,0
09386,2008-02-13,-27,742,suncl,,Ш,0
09386,2008-02-14,-10,732,dull,,ЮЗ,6
09386,2008-02-15,-7,740,dull,,ЮЗ,2
09386,2008-02-16,-10,744,suncl,,ЮЗ,3
09386,2008-02-17,-17,752,sun,,СЗ,2
09386,2008-02-18,-28,759,sun,,Ш,0
09386,2008-02-19,-34,754,dull,snow,Ш,0
09386,2008-02-20,-29,755,suncl,,СЗ,1
09386,2008-02-21,-28,758,sun,,Ш,0
09386,2008-02-22,-29,756,sunc,,Ш,0
09386,2008-02-23,-18,745,dull,,В,1
09386,2008-02-24,-18,744,dull,,С,1
09386,2008-02-25,-16,733,dull,snow,В,1
09386,2008-02-26,-11,736,dull,,Ш,0
09386,2008-02-27,-8,739,suncl,snow,ЮЗ,5
09386,2008-02-28,-14,734,dull,snow,Ш,0
09386,2008-02-29,-7,736,dull,snow,ЮЗ,6
09386,2008-03-01,-12,745,dull,,В,1
09386,2008-03-02,-15,744,dull,snow,Ш,0
09386,2008-03-03,0,744,dull,,З,1
09386,2008-03-04,-10,747,dull,,СЗ,1
09386,2008-03-05,-2,742,dull,snow,ЮЗ,6
09386,2008-03-06,-5,742,dull,snow,Ш,0
09386,2008-03-07,-7,728,dull,,В,2
09386,2008-03-08,-10,735,dull,snow,СЗ,2
09386,2008-03-09,-6,737,dull,,СЗ,1
09386,2008-03-10,-8,726,dull,,СЗ,2
09386,2008-03-11,-23,741,suncl,,ЮЗ,4
09386,2008-03-12,-15,740,dull,,Ю,3
09386,2008-03-13,-16,734,dull,,ЮВ,1
09386,2008-03-14,-16,738,sunc,,Ш,0
09386,2008-03-15,-17,731,dull,snow,С,2
09386,2008-03-16,-15,728,dull,snow,СЗ,2
09386,2008-03-17,-20,742,sun,,ЮЗ,4
09386,2008-03-18,-19,745,suncl,,Ш,0
09386,2008-03-19,-20,741,dull,snow,В,3
09386,2008-03-20,-2,738,dull,,ЮВ,3
09386,2008-03-21,-7,744,dull,,З,3
09386,2008-03-22,-9,750,dull,,В,1
09386,2008-03-23,0,745,dull,,ЮЗ,3
09386,2008-03-24,6,733,dull,,Ю,3
09386,2008-03-25,0,748,dull,,З,4
09386,2008-03-26,-2,749,dull,,ЮЗ,3
09386,2008-03-27,-4,752,dull,,СЗ,4
09386,2008-03-28,-3,763,dull,,Ю,2
09386,2008-03-29,6,757,suncl,,ЮЗ,2
09386,2008-03-30,7,751,dull,,ЮЗ,4
09386,2008-03-31,1,741,suncl,,З,5
09386,2008-04-01,-5,742,dull,snow,В,1
09386,2008-04-02,1,728,dull,snow,ЮЗ,4
09386,2008-04-03,-7,732,dull,,СЗ,5
09386,2008-04-04,-11,736,suncl,,СЗ,3
09386,2008-04-05,-9,740,sunc,,Ю,3
09386,2008-04-06,-12,739,sunc,,СЗ,3
09386,2008-04-07,-9,742,dull,,З,5
09386,2008-04-08,-5,741,sunc,,Ю,1
09386,2008-04-09,-8,746,suncl,,З,2
09386,2008-04-10,-5,738,dull,,Ю,5
09386,2008-04-11,-16,734,sunc,,З,5
09386,2008-04-12,-11,732,dull,snow,ЮЗ,3
09386,2008-04-13,-8,741,sun,,СЗ,3
09386,2008-04-14,-11,745,sun,,СЗ,4
09386,2008-04-15,-12,737,dull,snow,В,3
09386,2008-04-16,-11,738,dull,snow,С,2
09386,2008-04-17,-10,742,suncl,,СЗ,2
09386,2008-04-18,-12,746,dull,snow,СВ,3
09386,2008-04-19,-9,751,dull,snow,Ю,1
09386,2008-04-20,-6,754,sunc,,В,1
09386,2008-04-21,0,754,sun,,Ю,1
09386,2008-04-22,2,744,dull,snow,З,3
09386,2008-04-23,1,752,suncl,,З,3
09386,2008-04-24,2,749,suncl,,ЮВ,2
09386,2008-04-25,5,737,dull,rain,ЮВ,2
09386,2008-04-26,6,724,dull,rain,В,5
09386,2008-04-27,0,730,dull,,Ю,3
09386,2008-04-28,3,736,suncl,,Ю,1
09386,2008-04-29,6,737,dull,,В,4
09386,2008-04-30,6,742,suncl,,Ш,0
09386,2008-05-01,8,743,suncl,,СЗ,3
09386,2008-05-02,5,747,suncl,,С,2
09386,2008-05-03,6,745,dull,,СЗ,2
09386,2008-05-04,6,740,suncl,,СЗ,2
09386,2008-05-05,8,740,suncl,,С,3
09386,2008-05-06,10,742,dull,,В,2
09386,2008-05-07,10,750,suncl,,ЮЗ,3
09386,2008-05-08,13,756,sunc,,Ю,2
09386,2008-05-09,14,753,suncl,,В,2
09386,2008-05-10,16,749,sun,,Ю,3
09386,2008-05-11,13,742,dull,,ЮВ,3
09386,2008-05-12,12,739,dull,,Ш,0
09386,2008-05-13,5,737,dull,,ЮЗ,4
09386,2008-05-14,5,744,dull,,СЗ,4
09386,2008-05-15,10,747,sunc,,ЮЗ,5
09386,2008-05-16,12,742,dull,,СЗ,4
09386,2008-05-17,9,748,sunc,,СВ,3
09386,2008-05-18,3,744,dull,,ЮЗ,2
09386,2008-05-19,13,742,dull,,ЮВ,2
09386,2008-05-20,12,733,dull,,ЮЗ,3
09386,2008-05-21,9,732,dull,,СВ,2
09386,2008-05-22,9,736,dull,,С,2
09386,2008-05-23,10,735,suncl,,Ю,4
09386,2008-05-24,6,730,suncl,,З,3
09386,2008-05-25,6,741,suncl,,З,2
09386,2008-05-26,4,746,dull,,З,1
09386,2008-05-27,10,748,suncl,,Ш,0
09386,2008-05-28,12,750,suncl,,ЮЗ,3
09386,2008-05-29,16,746,suncl,,ЮВ,3
09386,2008-05-30,19,745,suncl,,Ш,0
09386,2008-05-31,21,744,suncl,,З,1
09386,2008-06-01,24,741,dull,,Ю,5
09386,2008-06-02,16,737,dull,rain,СЗ,2
09386,2008-06-03,17,742,suncl,,З,3
09386,2008-06-04,24,731,dull,,ЮВ,7
09386,2008-06-05,7,739,suncl,,СЗ,3
09386,2008-06-06,12,736,suncl,,Ю,1
09386,2008-06-07,15,739,sunc,,СЗ,6
09386,2008-06-08,22,739,sunc,,Ш,0
09386,2008-06-09,20,732,dull,,ЮЗ,2
09386,2008-06-10,16,732,dull,,Ю,2
09386,2008-06-11,12,731,dull,rain,Ш,0
09386,2008-06-12,15,733,suncl,,ЮЗ,5
09386,2008-06-13,16,738,dull,,ЮЗ,1
09386,2008-06-14,14,741,suncl,,ЮЗ,3
09386,2008-06-15,19,742,suncl,,СВ,2
09386,2008-06-16,20,740,dull,,Ю,2
09386,2008-06-17,23,739,dull,,СВ,3
09386,2008-06-18,25,738,suncl,,С,3
09386,2008-06-19,27,737,suncl,,В,1
09386,2008-06-20,20,739,dull,,СВ,4
09386,2008-06-21,17,738,dull,,ЮЗ,1
09386,2008-06-22,15,736,dull,storm,Ю,1
09386,2008-06-23,25,734,suncl,,ЮЗ,4
09386,2008-06-24,22,740,dull,storm,ЮВ,2
09386,2008-06-25,24,740,dull,,СВ,1
09386,2008-06-26,23,736,suncl,,ЮЗ,4
09386,2008-06-27,17,740,dull,,ЮЗ,3
09386,2008-06-28,29,740,suncl,,С,2
09386,2008-06-29,23,739,suncl,,С,2
09386,2008-06-30,27,735,suncl,,Ш,0
09386,2008-07-01,11,734,dull,rain,ЮВ,2
09386,2008-07-02,13,737,dull,,В,4
09386,2008-07-03,14,741,dull,,В,3
09386,2008-07-04,18,740,sunc,,В,3
09386,2008-07-05,18,736,dull,,ЮВ,5
09386,2008-07-06,17,733,dull,,В,3
09386,2008-07-07,20,732,dull,,В,2
09386,2008-07-08,23,734,suncl,,ЮЗ,3
09386,2008-07-09,14,736,dull,rain,Ш,0
09386,2008-07-10,18,734,dull,,З,1
09386,2008-07-11,19,732,dull,,С,1
09386,2008-07-12,16,732,dull,,С,3
09386,2008-07-13,16,734,dull,rain,Ш,0
09386,2008-07-14,18,733,dull,rain,Ю,2
09386,2008-07-15,21,733,suncl,,ЮВ,2
09386,2008-07-16,21,734,dull,,ЮВ,2
09386,2008-07-17,21,734,dull,,ЮЗ,3
09386,2008-07-18,24,740,suncl,,СЗ,2
09386,2008-07-19,26,741,dull,,ЮЗ,3
09386,2008-07-20,19,743,dull,,СЗ,4
09386,2008-07-21,22,740,dull,,Ш,0
09386,2008-07-22,17,735,dull,storm,З,1
09386,2008-07-23,10,730,dull,rain,СЗ,7
09386,2008-07-24,11,733,dull,rain,В,2
09386,2008-07-25,18,736,suncl,,ЮВ,2
09386,2008-07-26,19,735,dull,,ЮЗ,3
09386,2008-07-27,19,736,dull,,З,1
09386,2008-07-28,19,739,suncl,,С,2
09386,2008-07-29,18,742,suncl,,В,3
09386,2008-07-30,18,743,dull,,СВ,1
09386,2008-07-31,17,739,dull,,В,3
09386,2008-08-01,16,730,dull,rain,В,3
09386,2008-08-02,16,723,dull,,ЮЗ,2
09386,2008-08-03,16,724,dull,,ЮЗ,4
09386,2008-08-04,14,729,dull,,ЮЗ,3
09386,2008-08-05,19,736,dull,,ЮЗ,3
09386,2008-08-06,21,734,dull,,ЮВ,5
09386,2008-08-07,16,734,dull,,ЮЗ,5
09386,2008-08-08,15,741,suncl,,З,4
09386,2008-08-09,18,744,sunc,,С,3
09386,2008-08-10,21,743,sunc,,Ш,0
09386,2008-08-11,24,741,dull,,СВ,2
09386,2008-08-12,15,740,dull,rain,З,4
09386,2008-08-13,20,743,suncl,,ЮЗ,2
09386,2008-08-14,15,739,dull,,Ш,0
09386,2008-08-15,16,740,suncl,,З,3
09386,2008-08-16,20,737,dull,,ЮЗ,2
09386,2008-08-17,22,736,suncl,,СЗ,1
09386,2008-08-18,20,734,suncl,,ЮЗ,1
09386,2008-08-19,15,732,dull,rain,Ш,0
09386,2008-08-20,14,735,dull,,Ш,0
09386,2008-08-21,13,732,dull,rain,СЗ,2
09386,2008-08-22,9,733,dull,rain,З,4
09386,2008-08-23,12,742,suncl,,СЗ,2
09386,2008-08-24,9,745,dull,,С,3
09386,2008-08-25,8,745,dull,,С,3
