uid,date,latitude,longitude,temperature,pressure,cloud,weather,wind_dir,wind_spd,is_fallback_data
09386,2018-01-01,59.62583,103.32778,-26,760,dull,clear,Ю,1,0
09386,2018-01-02,59.62583,103.32778,-20,758,dull,snow,ЮЗ,3,0
09386,2018-01-03,59.62583,103.32778,-13,753,sun,clear,ЮЗ,2,0
09386,2018-01-04,59.62583,103.32778,-12,749,sunc,clear,ЮЗ,2,0
09386,2018-01-05,59.62583,103.32778,-10,742,dull,snow,З,2,0
09386,2018-01-06,59.62583,103.32778,-13,738,dull,snow,ЮЗ,2,0
09386,2018-01-07,59.62583,103.32778,-16,740,suncl,snow,Ш,0,0
09386,2018-01-08,59.62583,103.32778,-33,750,sun,clear,Ш,0,0
09386,2018-01-09,59.62583,103.32778,-38,752,sun,clear,Ш,0,0
09386,2018-01-10,59.62583,103.32778,-28,741,dull,snow,Ш,0,0
09386,2018-01-11,59.62583,103.32778,-30,740,sun,clear,Ш,0,0
09386,2018-01-12,59.62583,103.32778,-16,731,suncl,clear,Ш,0,0
09386,2018-01-13,59.62583,103.32778,-14,731,suncl,snow,З,2,0
09386,2018-01-14,59.62583,103.32778,-16,728,sunc,snow,ЮЗ,3,0
09386,2018-01-15,59.62583,103.32778,-22,731,suncl,snow,З,2,0
09386,2018-01-16,59.62583,103.32778,-32,732,sun,clear,ЮЗ,1,0
09386,2018-01-17,59.62583,103.32778,-41,730,sunc,clear,СВ,1,0
09386,2018-01-18,59.62583,103.32778,-36,740,sun,clear,С,2,0
09386,2018-01-19,59.62583,103.32778,-41,752,sunc,snow,СВ,1,0
09386,2018-01-20,59.62583,103.32778,-46,762,sun,clear,Ш,0,0
09386,2018-01-21,59.62583,103.32778,-34,761,sunc,snow,З,1,0
09386,2018-01-22,59.62583,103.32778,-30,754,sunc,snow,ЮЗ,1,0
09386,2018-01-23,59.62583,103.32778,-31,754,sun,clear,Ш,0,0
09386,2018-01-24,59.62583,103.32778,-29,758,sun,clear,ЮЗ,1,0
09386,2018-01-25,59.62583,103.32778,-33,763,sun,clear,Ш,0,0
09386,2018-01-26,59.62583,103.32778,-27,760,sunc,clear,Ю,1,0
09386,2018-01-27,59.62583,103.32778,-19,751,sunc,snow,З,1,0
09386,2018-01-28,59.62583,103.32778,-18,742,sunc,snow,ЮЗ,3,0
09386,2018-01-29,59.62583,103.32778,-16,742,sunc,snow,З,1,0
09386,2018-01-30,59.62583,103.32778,-19,739,dull,snow,ЮЗ,1,0
09386,2018-01-31,59.62583,103.32778,-22,747,sun,clear,ЮЗ,1,0
09386,2018-02-01,59.62583,103.32778,-19,750,sunc,clear,Ш,0,0
09386,2018-02-02,59.62583,103.32778,-20,752,sun,clear,ЮЗ,1,0
09386,2018-02-03,59.62583,103.32778,-20,755,sun,clear,Ю,1,0
09386,2018-02-04,59.62583,103.32778,-21,751,suncl,clear,В,1,0
09386,2018-02-05,59.62583,103.32778,-22,753,sun,clear,СЗ,2,0
09386,2018-02-06,59.62583,103.32778,-16,743,dull,clear,ЮЗ,4,0
09386,2018-02-07,59.62583,103.32778,-19,730,suncl,snow,ЮЗ,2,0
09386,2018-02-08,59.62583,103.32778,-24,749,sun,clear,СВ,1,0
09386,2018-02-09,59.62583,103.32778,-24,752,suncl,snow,Ш,0,0
09386,2018-02-10,59.62583,103.32778,-15,752,sunc,clear,ЮЗ,1,0
09386,2018-02-11,59.62583,103.32778,-18,746,sunc,snow,Ш,0,0
09386,2018-02-12,59.62583,103.32778,-18,742,sun,clear,Ш,0,0
09386,2018-02-13,59.62583,103.32778,-17,740,sun,clear,З,1,0
09386,2018-02-14,59.62583,103.32778,-16,743,sun,clear,Ш,0,0
09386,2018-02-15,59.62583,103.32778,-22,745,sunc,snow,Ш,0,0
09386,2018-02-16,59.62583,103.32778,-18,743,sunc,snow,Ш,0,0
09386,2018-02-17,59.62583,103.32778,-18,746,suncl,snow,ЮЗ,2,0
09386,2018-02-18,59.62583,103.32778,-14,746,sunc,clear,З,1,0
09386,2018-02-19,59.62583,103.32778,-16,743,sunc,snow,ЮЗ,2,0
09386,2018-02-20,59.62583,103.32778,-14,740,suncl,snow,З,1,0
09386,2018-02-21,59.62583,103.32778,-17,741,sun,clear,ЮЗ,1,0
09386,2018-02-22,59.62583,103.32778,-18,740,sunc,clear,ЮЗ,3,0
09386,2018-02-23,59.62583,103.32778,-14,740,sunc,clear,ЮЗ,2,0
09386,2018-02-24,59.62583,103.32778,-15,742,sun,clear,Ш,0,0
09386,2018-02-25,59.62583,103.32778,-19,744,sunc,snow,С,2,0
09386,2018-02-26,59.62583,103.32778,-21,746,sunc,snow,СЗ,1,0
09386,2018-02-27,59.62583,103.32778,-20,746,sunc,snow,Ш,0,0
09386,2018-02-28,59.62583,103.32778,-20,746,sun,clear,Ш,0,0
09386,2018-03-01,59.62583,103.32778,-17,737,sun,clear,Ш,0,0
09386,2018-03-02,59.62583,103.32778,-19,734,sun,clear,Ш,0,0
09386,2018-03-03,59.62583,103.32778,-16,739,sunc,snow,ЮЗ,1,0
09386,2018-03-04,59.62583,103.32778,-16,744,sun,clear,ЮЗ,2,0
09386,2018-03-05,59.62583,103.32778,-15,749,sun,clear,СЗ,2,0
09386,2018-03-06,59.62583,103.32778,-10,752,sunc,clear,ЮЗ,2,0
09386,2018-03-07,59.62583,103.32778,-8,743,sunc,clear,ЮВ,1,0
09386,2018-03-08,59.62583,103.32778,-6,736,sunc,clear,ЮЗ,2,0
09386,2018-03-09,59.62583,103.32778,-9,741,dull,clear,ЮЗ,2,0
09386,2018-03-10,59.62583,103.32778,-8,737,sunc,clear,СЗ,1,0
09386,2018-03-11,59.62583,103.32778,-11,733,sunc,clear,С,2,0
09386,2018-03-12,59.62583,103.32778,-10,737,sun,clear,З,1,0
09386,2018-03-13,59.62583,103.32778,-14,746,sun,clear,СЗ,1,0
09386,2018-03-14,59.62583,103.32778,-11,746,sun,clear,ЮЗ,3,0
09386,2018-03-15,59.62583,103.32778,-7,738,suncl,clear,ЮЗ,1,0
09386,2018-03-16,59.62583,103.32778,-5,737,suncl,clear,З,1,0
09386,2018-03-17,59.62583,103.32778,-9,743,sun,clear,С,2,0
09386,2018-03-18,59.62583,103.32778,-5,746,dull,snow,Ю,1,0
09386,2018-03-19,59.62583,103.32778,7,742,sun,clear,ЮЗ,3,0
09386,2018-03-20,59.62583,103.32778,10,729,sun,clear,Ю,3,0
09386,2018-03-21,59.62583,103.32778,-2,740,sun,clear,ЮЗ,3,0
09386,2018-03-22,59.62583,103.32778,-1,735,dull,clear,ЮЗ,2,0
09386,2018-03-23,59.62583,103.32778,-1,732,sunc,clear,Ю,3,0
09386,2018-03-24,59.62583,103.32778,0,731,suncl,clear,З,2,0
09386,2018-03-25,59.62583,103.32778,2,724,dull,clear,З,3,0
09386,2018-03-26,59.62583,103.32778,-3,726,suncl,clear,З,1,0
09386,2018-03-27,59.62583,103.32778,-1,734,suncl,clear,ЮЗ,3,0
09386,2018-03-28,59.62583,103.32778,0,733,suncl,clear,ЮЗ,5,0
09386,2018-03-29,59.62583,103.32778,-6,743,sunc,clear,З,2,0
09386,2018-03-30,59.62583,103.32778,3,731,suncl,clear,ЮВ,2,0
09386,2018-03-31,59.62583,103.32778,-3,717,dull,clear,ЮЗ,7,0
09386,2018-04-01,59.62583,103.32778,-3,733,sunc,clear,ЮЗ,4,0
09386,2018-04-02,59.62583,103.32778,-8,744,sunc,clear,ЮЗ,3,0
09386,2018-04-03,59.62583,103.32778,-2,741,sun,clear,З,2,0
09386,2018-04-04,59.62583,103.32778,-2,743,dull,clear,З,1,0
09386,2018-04-05,59.62583,103.32778,-6,749,sunc,clear,ЮЗ,3,0
09386,2018-04-06,59.62583,103.32778,0,739,dull,snow,З,1,0
09386,2018-04-07,59.62583,103.32778,4,736,sunc,clear,З,1,0
09386,2018-04-08,59.62583,103.32778,1,733,sunc,clear,С,3,0
09386,2018-04-09,59.62583,103.32778,0,738,suncl,clear,С,1,0
09386,2018-04-10,59.62583,103.32778,4,738,suncl,clear,Ю,2,0
09386,2018-04-11,59.62583,103.32778,5,740,sun,clear,В,3,0
09386,2018-04-12,59.62583,103.32778,6,741,suncl,clear,Ю,2,0
09386,2018-04-13,59.62583,103.32778,4,737,dull,clear,ЮЗ,3,0
09386,2018-04-14,59.62583,103.32778,14,724,suncl,clear,Ю,5,0
09386,2018-04-15,59.62583,103.32778,3,730,suncl,clear,ЮЗ,3,0
09386,2018-04-16,59.62583,103.32778,3,730,suncl,clear,ЮЗ,5,0
09386,2018-04-17,59.62583,103.32778,7,725,sunc,clear,ЮВ,2,0
09386,2018-04-18,59.62583,103.32778,-4,728,dull,snow,ЮЗ,4,0
09386,2018-04-19,59.62583,103.32778,-4,737,dull,clear,З,2,0
09386,2018-04-20,59.62583,103.32778,2,740,sunc,clear,ЮЗ,4,0
09386,2018-04-21,59.62583,103.32778,8,737,sun,clear,ЮЗ,6,0
09386,2018-04-22,59.62583,103.32778,12,734,suncl,clear,ЮЗ,6,0
09386,2018-04-23,59.62583,103.32778,5,737,suncl,clear,З,2,0
09386,2018-04-24,59.62583,103.32778,3,739,sun,clear,С,2,0
09386,2018-04-26,59.62583,103.32778,13,734,sunc,clear,З,2,0
09386,2018-04-27,59.62583,103.32778,3,734,dull,rain,З,3,0
09386,2018-04-28,59.62583,103.32778,4,740,suncl,clear,СЗ,4,0
09386,2018-04-29,59.62583,103.32778,9,741,dull,clear,СЗ,2,0
09386,2018-04-30,59.62583,103.32778,15,740,suncl,clear,ЮЗ,4,0
09386,2018-05-01,59.62583,103.32778,19,731,sun,clear,ЮЗ,4,0
09386,2018-05-02,59.62583,103.32778,11,731,dull,clear,З,1,0
09386,2018-05-03,59.62583,103.32778,7,737,suncl,clear,З,2,0
09386,2018-05-04,59.62583,103.32778,3,737,suncl,clear,СЗ,3,0
09386,2018-05-05,59.62583,103.32778,5,735,suncl,clear,ЮЗ,2,0
09386,2018-05-06,59.62583,103.32778,1,722,dull,snow,Ю,1,0
09386,2018-05-07,59.62583,103.32778,4,737,suncl,clear,ЮЗ,3,0
09386,2018-05-08,59.62583,103.32778,5,737,sunc,clear,Ю,3,0
09386,2018-05-09,59.62583,103.32778,-1,734,dull,snow,СЗ,4,0
09386,2018-05-10,59.62583,103.32778,5,740,dull,clear,З,2,0
09386,2018-05-11,59.62583,103.32778,8,738,sunc,clear,СЗ,2,0
09386,2018-05-12,59.62583,103.32778,11,726,sunc,clear,В,3,0
09386,2018-05-13,59.62583,103.32778,4,723,dull,rain,СВ,2,0
09386,2018-05-14,59.62583,103.32778,6,728,dull,clear,ЮЗ,2,0
09386,2018-05-15,59.62583,103.32778,12,731,suncl,clear,З,3,0
09386,2018-05-16,59.62583,103.32778,11,728,dull,rain,ЮЗ,4,0
09386,2018-05-17,59.62583,103.32778,8,729,dull,clear,Ю,2,0
